Date,Price
2011-10-21,8751.62
2011-10-22,8750.62
2011-10-23,8752.09
2011-10-24,8701.21
2011-10-25,8700.27
2011-10-26,8732.28
2011-10-27,8843.67
2011-10-28,8784.93
2011-10-29,8785.81
2011-10-30,8785.79
2011-10-31,8785.75
2011-11-01,8776.46
2011-11-02,8780.15
2011-11-03,8780.18
2011-11-04,8799.3
2011-11-05,8789.28
2011-11-06,8792.43
2011-11-07,8801.76
2011-11-08,8821.76
2011-11-09,8822.05
2011-11-10,8821.81
2011-11-11,8964.98
2011-11-12,8916.09
2011-11-13,8914.51
2011-11-14,8907.46
2011-11-15,8899.16
2011-11-16,8859.49
2011-11-17,8869.81
2011-11-18,8867.82
2011-11-19,8879.73
2011-11-20,8873.96
2011-11-21,8880.67
2011-11-22,8873.77
2011-11-23,8925.7
2011-11-24,8925.78
2011-11-25,8873.36
2011-11-26,8873.35
2011-11-27,8871.41
2011-11-28,8877.91
2011-11-29,8818.69
2011-11-30,8817.81
2011-12-01,8850.85
2011-12-02,8850.49
2011-12-03,8850.92
2011-12-04,8851.12
2011-12-05,8848.5
2011-12-06,8847.44
2011-12-07,8815.41
2011-12-08,8880.44
2011-12-09,8881.08
2011-12-10,8877.68
2011-12-11,8876.72
2011-12-12,8877.44
2011-12-13,8873.63
2011-12-14,8891.11
2011-12-15,8889.98
2011-12-16,8884.32
2011-12-17,8853.88
2011-12-18,8853.59
2011-12-19,8858.96
2011-12-20,8884.72
2011-12-21,8873.08
2011-12-22,8880.59
2011-12-23,8812.76
2011-12-24,8817.7
2011-12-25,8819.2
2011-12-26,8817.22
2011-12-27,8818.7
2011-12-28,8818.5
2011-12-29,8819.69
2011-12-30,8815.02
2011-12-31,8815.27
2012-01-01,8888.12
2012-01-02,8433.49
2012-01-03,8394.91
2012-01-04,8387.51
2012-01-05,8407.62
2012-01-06,8440.58
2012-01-07,8445.14
2012-01-08,8443.59
2012-01-09,8572.22
2012-01-10,8566.86
2012-01-11,8581.24
2012-01-12,8948.55
2012-01-13,8949.19
2012-01-14,8955.04
2012-01-15,8959.28
2012-01-16,8964.88
2012-01-17,8894.54
2012-01-18,9032.88
2012-01-19,9032.66
2012-01-20,8939.73
2012-01-21,8937.35
2012-01-22,8936.18
2012-01-23,8934.2
2012-01-24,8932.44
2012-01-25,8809.98
2012-01-26,8803.85
2012-01-27,8760.37
2012-01-28,8757.73
2012-01-29,8677.87
2012-01-30,8703.56
2012-01-31,8718.69
2012-02-01,8715.53
2012-02-02,8714.86
2012-02-03,8716.49
2012-02-04,8715.2
2012-02-05,8630.43
2012-02-06,8630.26
2012-02-07,8589.06
2012-02-08,8568.36
2012-02-09,8568.5
2012-02-10,8593.85
2012-02-11,8617.43
2012-02-12,8617.58
2012-02-13,8617.23
2012-02-14,8626.12
2012-02-15,8617.88
2012-02-16,8618.09
2012-02-17,8619.84
2012-02-18,8620.14
2012-02-19,8620.22
2012-02-20,8671.48
2012-02-21,8670.63
2012-02-22,8794.4
2012-02-23,8759.11
2012-02-24,8793.24
2012-02-25,8754.54
2012-02-26,8694.88
2012-02-27,8669.27
2012-02-28,8660.21
2012-02-29,8672.05
2012-03-01,8705.16
2012-03-02,8706.42
2012-03-03,8723.27
2012-03-04,8721.48
2012-03-05,8782.95
2012-03-06,8939.79
2012-03-07,8939.55
2012-03-08,9027.8
2012-03-09,9198.01
2012-03-10,9205.39
2012-03-11,9205.06
2012-03-12,9228.01
2012-03-13,9126.48
2012-03-14,9117.86
2012-03-15,9116.86
2012-03-16,9126.14
2012-03-17,7601.41
2012-03-18,7644.61
2012-03-19,7652.19
2012-03-20,7637.76
2012-03-21,7764.02
2012-03-22,7768.91
2012-03-23,7739.14
2012-03-24,7670.87
2012-03-25,7671.63
2012-03-26,7675.61
2012-03-27,7680.04
2012-03-28,7681.27
2012-03-29,7680.07
2012-03-30,7680.62
2012-03-31,7682.63
2012-04-01,7682.99
2012-04-02,7683.7
2012-04-03,9063.92
2012-04-04,8997.45
2012-04-05,8983.21
2012-04-06,9018.43
2012-04-07,9023.18
2012-04-08,9023.7
2012-04-09,9013.73
2012-04-10,8968.21
2012-04-11,8970.03
2012-04-12,8986.34
2012-04-13,8985.79
2012-04-14,8985.19
2012-04-15,8998.57
2012-04-16,9042.76
2012-04-17,9038.14
2012-04-18,9182.53
2012-04-19,9161.23
2012-04-20,9138.49
2012-04-21,9133.42
2012-04-22,9130.32
2012-04-23,9128.98
2012-04-24,9193.66
2012-04-25,9192.47
2012-04-26,9192.48
2012-04-27,9192.8
2012-04-28,9192.85
2012-04-29,9195.8
2012-04-30,9195.91
2012-05-01,9196.38
2012-05-02,9192.51
2012-05-03,9193.11
2012-05-04,9192.87
2012-05-05,9192.22
2012-05-06,9192.5
2012-05-07,9223.73
2012-05-08,9260.14
2012-05-09,9263.08
2012-05-10,9263.17
2012-05-11,9261.47
2012-05-12,9258.95
2012-05-13,9260.21
2012-05-14,9261.09
2012-05-15,9264.83
2012-05-16,9353.66
2012-05-17,9353.59
2012-05-18,9353.83
2012-05-19,9354.77
2012-05-20,9355.44
2012-05-21,9355.36
2012-05-22,9368.74
2012-05-23,9386.7
2012-05-24,9387.29
2012-05-25,9395.1
2012-05-26,9394
2012-05-27,9388.87
2012-05-28,9378.32
2012-05-29,9378.74
2012-05-30,9548.03
2012-05-31,9600.88
2012-06-01,9600.9
2012-06-02,9600.95
2012-06-03,9600.94
2012-06-04,9599.69
2012-06-05,9597.56
2012-06-06,9563.34
2012-06-07,9566.11
2012-06-08,9562.89
2012-06-09,9562.58
2012-06-10,9562.96
2012-06-11,9562.43
2012-06-12,9406.98
2012-06-13,9532.71
2012-06-14,9525.32
2012-06-15,9526.61
2012-06-16,9535.97
2012-06-17,9532.63
2012-06-18,9565.49
2012-06-19,9564.2
2012-06-20,9572.26
2012-06-21,9576.93
2012-06-22,9251.57
2012-06-23,9255.86
2012-06-24,9255.9
2012-06-25,9269.51
2012-06-26,9283.03
2012-06-27,9287.6
2012-06-28,9295.68
2012-06-29,9293.93
2012-06-30,9284.22
2012-07-01,9284.38
2012-07-02,9284.39
2012-07-03,9281.44
2012-07-04,9272.62
2012-07-05,9271.2
2012-07-06,9275.98
2012-07-07,9289.43
2012-07-08,9293.06
2012-07-09,9292.03
2012-07-10,9284.73
2012-07-11,9285.48
2012-07-12,9282.85
2012-07-13,9281.11
2012-07-14,9280.8
2012-07-15,9297.71
2012-07-16,9296.48
2012-07-17,9296.52
2012-07-18,9299.76
2012-07-19,9299.39
2012-07-20,9236.58
2012-07-21,9236.64
2012-07-22,9236.63
2012-07-23,9266.5
2012-07-24,9245.1
2012-07-25,9236.11
2012-07-26,9239.02
2012-07-27,9236.15
2012-07-28,9232.94
2012-07-29,9232.4
2012-07-30,9234.96
2012-07-31,9236.19
2012-08-01,9234.52
2012-08-02,9261.09
2012-08-03,9260.31
2012-08-04,9261.16
2012-08-05,9237.85
2012-08-06,9231.93
2012-08-07,9225.48
2012-08-08,9287.59
2012-08-09,9300.49
2012-08-10,9308.47
2012-08-11,9314.61
2012-08-12,9314.51
2012-08-13,9347.63
2012-08-14,9331.64
2012-08-15,9322.62
2012-08-16,9321.84
2012-08-17,9353.82
2012-08-18,9660.43
2012-08-19,9662.21
2012-08-20,9662.09
2012-08-21,9686.46
2012-08-22,9686.11
2012-08-23,9686.76
2012-08-24,9672.49
2012-08-25,9672.39
2012-08-26,9680.81
2012-08-27,9683.2
2012-08-28,9671.24
2012-08-29,9671.24
2012-08-30,9671.24
2012-08-31,9671.24
2012-09-01,9671.24
2012-09-02,9671.24
2012-09-03,9671.24
2012-09-04,9385.51
2012-09-05,9497.36
2012-09-06,9495.46
2012-09-07,9493.34
2012-09-08,9493.15
2012-09-09,9500.68
2012-09-10,9497.25
2012-09-11,9656.98
2012-09-12,9656.93
2012-09-13,10176.39
2012-09-14,9829.81
2012-09-15,9691.34
2012-09-16,9697.51
2012-09-17,9685.56
2012-09-18,9698.92
2012-09-19,9701.59
2012-09-20,9702.26
2012-09-21,9703.11
2012-09-22,9704.26
2012-09-23,9707.48
2012-09-24,9714.28
2012-09-25,9714.36
2012-09-26,9719.29
2012-09-27,9719
2012-09-28,9718.92
2012-09-29,9703.29
2012-09-30,9703.77
2012-10-01,9707.35
2012-10-02,9707.74
2012-10-03,9710.08
2012-10-04,9710.16
2012-10-05,9716.27
2012-10-06,9716.95
2012-10-07,9716.99
2012-10-08,9689.9
2012-10-09,9801.77
2012-10-10,9802.44
2012-10-11,9810.81
2012-10-12,9708.36
2012-10-13,9709.1
2012-10-14,9709.1
2012-10-15,9709.23
2012-10-16,9645.68
2012-10-17,9641.77
2012-10-18,9639.94
2012-10-19,9644.03
2012-10-20,9647.56
2012-10-21,9647.56
2012-10-22,9618.16
2012-10-23,9604.7
2012-10-24,9609.16
2012-10-25,9624.9
2012-10-26,9624.48
2012-10-27,9622.47
2012-10-28,9609.09
2012-10-29,9618.41
2012-10-30,9625.93
2012-10-31,9625.41
2012-11-01,9629.08
2012-11-02,9629.85
2012-11-03,9627.19
2012-11-04,9626.3
2012-11-05,9626.12
2012-11-06,9615.83
2012-11-07,9606.61
2012-11-08,9608.75
2012-11-09,9605.55
2012-11-10,9609.82
2012-11-11,9617.4
2012-11-12,9723.15
2012-11-13,9721.91
2012-11-14,9725.34
2012-11-15,9722.74
2012-11-16,9723.96
2012-11-17,9723.31
2012-11-18,9720.56
2012-11-19,9720.73
2012-11-20,9666.33
2012-11-21,9669.39
2012-11-22,9669.6
2012-11-23,9778.49
2012-11-24,9773.7
2012-11-25,9797.69
2012-11-26,9696.24
2012-11-27,9588.69
2012-11-28,9585.35
2012-11-29,9579.08
2012-11-30,9597.18
2012-12-01,9650.51
2012-12-02,9648.37
2012-12-03,9713.88
2012-12-04,9717.5
2012-12-05,9723.1
2012-12-06,9724.57
2012-12-07,9712.8
2012-12-08,9709.04
2012-12-09,9692.35
2012-12-10,9692.01
2012-12-11,9691.74
2012-12-12,9719.55
2012-12-13,9718.58
2012-12-14,9862.3
2012-12-15,9869.93
2012-12-16,9870.98
2012-12-17,9867.33
2012-12-18,9865.8
2012-12-19,9814.86
2012-12-20,9813.13
2012-12-21,9813.65
2012-12-22,9825.22
2012-12-23,9822.84
2012-12-24,9824.71
2012-12-25,9822.42
2012-12-26,9835.19
2012-12-27,9832.37
2012-12-28,9825.89
2012-12-29,9823.8
2012-12-30,9830.34
2012-12-31,9857
2013-01-01,9852.52
2013-01-02,9851.71
2013-01-03,9851.6
2013-01-04,9842.59
2013-01-05,9830.18
2013-01-06,9797.73
2013-01-07,9830.04
2013-01-08,9809.18
2013-01-09,9811.23
2013-01-10,9787.71
2013-01-11,9785.57
2013-01-12,9811.57
2013-01-13,9819.02
2013-01-14,9807.54
2013-01-15,9790.22
2013-01-16,9790.72
2013-01-17,9785.66
2013-01-18,9786.8
2013-01-19,9800.48
2013-01-20,9798.66
2013-01-21,9763.81
2013-01-22,9763.31
2013-01-23,9789.54
2013-01-24,9796.59
2013-01-25,9797.09
2013-01-26,9797.5
2013-01-27,9797.73
2013-01-28,9794.1
2013-01-29,9796.16
2013-01-30,9796.05
2013-01-31,9796.19
2013-02-01,9796.99
2013-02-02,9791.43
2013-02-03,9794.92
2013-02-04,9789.77
2013-02-05,9790.29
2013-02-06,9641.92
2013-02-07,9648.29
2013-02-08,9643.16
2013-02-09,9637.81
2013-02-10,9638.09
2013-02-11,9663.56
2013-02-12,9794.98
2013-02-13,9806.88
2013-02-14,9756.51
2013-02-15,9757.81
2013-02-16,9737.01
2013-02-17,9746.26
2013-02-18,9746.8
2013-02-19,9746.46
2013-02-20,9746.69
2013-02-21,9756.8
2013-02-22,9765.75
2013-02-23,9764.42
2013-02-24,9773.06
2013-02-25,9790.38
2013-02-26,9779.33
2013-02-27,9801.87
2013-02-28,9801.94
2013-03-01,9801.94
2013-03-02,9801.94
2013-03-03,9801.94
2013-03-04,9794.05
2013-03-05,9790.24
2013-03-06,10177.37
2013-03-07,10181.36
2013-03-08,10014.63
2013-03-09,10043.88
2013-03-10,10045.15
2013-03-11,10050.86
2013-03-12,10052.88
2013-03-13,10032.91
2013-03-14,10030.93
2013-03-15,10003.65
2013-03-16,9988.79
2013-03-17,9997.98
2013-03-18,10004.83
2013-03-19,9998.74
2013-03-20,9998.62
2013-03-21,9998.2
2013-03-22,9998.93
2013-03-23,10000.26
2013-03-24,9999.42
2013-03-25,9991.77
2013-03-26,9989.19
2013-03-27,9981.63
2013-03-28,9981.59
2013-03-29,9981.9
2013-03-30,9999.94
2013-03-31,10000.09
2013-04-01,9968.88
2013-04-02,9971.63
2013-04-03,9986.03
2013-04-04,9988.16
2013-04-05,9971.57
2013-04-06,9971.52
2013-04-07,9967.01
2013-04-08,9980.56
2013-04-09,9967.95
2013-04-10,9937.9
2013-04-11,9942.82
2013-04-12,9947.02
2013-04-13,9947.16
2013-04-14,9956.49
2013-04-15,9955.97
